ISBN;EAN;ASIN;Eigenschaft;Class;AX;BX;Autor;Titel;Seiten;Verlag;Bindung;Listenpreis;Datum;Translator;Orginaltitel;Sprache;Orginalsprache;Reihe;Thema;Buchart;Ersterscheinung;Standort;Auflage;Inhalt;Buchnummer;dnb-idns
;978.0;;8225;;;-;Pacovska, Kveta;Rumpelstilzchen erzählt;80.0;Edition Ilgner, Badan-Baden/Albatros;kein Pop-up!;11,30 €;1986/84;;;Deutsch;;;Märchen,Rumpelstilchen, Bremer Stadtmusikanten, Löweneckerchen, Frau Trude, Nashorn,atze, Hahn, Pfer;;3;3 - 3;;"In dem Buch werden verschiedene Märchen, neben Rumpelstilzchen auch die Bremer Stadtmusikanten, Frau Trude und das singende, springende Löweneckerchen erzählt und von Pacovska illustriert.

Das Buch ist noch gut in Ordnung, aber schon etwas abgegriffen";4221.0;[]
0763618896;9780763618896.0;;106513;Original;;Crouther, Robert;Crouther, Robert;Shapes;9.0;Candlewick Press;Klappen, Zug, Diecut;4,95 €;2002;;;English;;;Formen,Kreis, Quadrat, Oval, Rechteck, Dreieck,Ballon, Fisch, Haus, Koffer, Drachen, Tanne,;;3;9 - 5;;"Mit dem Buch werden verschiedene geomatrische Formen durch Beispielabbildungen nahegebracht.Neben einer großen Hauptform gibt es noch viele kleiner Formbeispiele.

Das Buch hat schon einige Benutzerspuren, ist aber noch voll funktionsfähig. Einband und";4220.0;[]
3851955854;978.0;;8553095;;;"Pacovka; Kveta";"Pacovka; Kveta(Ill.), Said (Text)";Es war einmal eine Blume;40.0;Neugebauer;Kein Pop-up, Fenster (5);8,83 €;1998;;;Deutsch;;;Blume, Farben, Schmetterling;;2;3 - 4;;"Mit farbenfrohen Rändern und Einzelbildern wird die geschichte einer Blume erzählt, die sich für farblos hält und auf die Suche nach ihrer Farbe geht. Hardcover mit Ausschnitten vorne und hinten.

Das Buch ist sehr gut erhalten. Das Zusatzblatt ist wege";4219.0;['952001926']
1561385549;9781561385546.0;B001KTDCVO;8388742;Original;;"Cubertson, Roger; Takahashi, Takeshi";Coursen, Valerie;My Sister - A treasury of Cmpagnionship;16.0;Running Press;180°(6);4,00 €;1995;;;English;;;Schwestern,Frauen, Kleid, Frisur, Haare,Füße,Eiscreme,Umarmung;;2;Karton-Minibücher;;"An intimate collection of words, thoughts, and images celebrating the special family bond, companionship, and what it means to have and to be a sister.

In dem Büchlein sind Zitate bekannter Personen über die Beziehung zwischen Schwestern gesammelt. Sch";4218.0;[]
9973716213;9782218031724.0;;9502726;Orginal;;N.N.;Fourure,Bruno (Ill.);Une ville arabe - La Medina de Tunis;20.0;Hatier, Alif;180°V/M (7),Klappen;22,00 €;1991;;;arabisch;;;Stadtmauer, Bad, Hammam, Schule, Moschee, Bassar, Wohnhaus, Straße, Straßenbahn;;1;3 - 7;;"In farenprächtigen Pop-ups wird ein vielfältiges Bild des Lebens und Treibens z. B. der Handwerker im Basar der Stadt Tunis aufgezeigt.

Das Buch ist sehr gut erhalten. Alle Mechaniken funktionieren gut. - 1";2739.0;[]
0974677515;9780974677514.0;0974677515;8912900;Original;;-;Hicks, Kyra E.;The Movable Book Society Meggendorfer Awards: Celebrating Paper Engineers, Book Artists & Pop-Up Books 1998-2018;80.0;The Movable Book Society;Kein Pop-up;19,33 €;2019;;;English;;;Meggendorfer Preise, Papieringenieure,;;1;13 - 1;;"
A comprehensive by-year listing of the Movable Book Society Meggendorfer Award finalists, honorable mentions and winners, with full-color photographs of books and paper engineers.


For twenty years, the Movable Book Society has honored those paper e";4217.0;[]
3480140572;978.0;;129;Nachdruck -1;;Nister, Ernest;"Nister, Ernst; Rudolph, Ingrid (Text)";Rauf und runter!;12.0;Eßlinger/ÖBV;Lamellen (4 horiz),;7,00 €;1985;;;deutsch;;;Kinder, Baby, Puppwn,  Kinderspiele;;1;11 - 1;;"Mit Gedichten , Zeichnungen und 6 4-teiligen Lamellenbilder wird vom Kinderleben zur viktorianischen Zeit erzählt.

Buch ist gut erhalten,kaum fingerfleckig und bestoßen - 1";1796.0;['831205075']
;978.0;;0;;;N.N.;Jethro Tull;;2.0;Chrysalis;180°(1 V);10,00 €;1970er? );;;English;;;Musik;Schallplatte;2;2 - 3;;"Auf der LP werden 10 Songs mit Glen Cornick (Guitarre), Clive Bunker (Drums)Martin Lancelot (Elek. Guitarre)und Ian Anderson (Flte, Hammonorgel, Gesang) wirdergegeben.. Die vier Musiker werden mit Schleifchen als Pop-up dargestellt

Das Cover ist ledigl";4216.0;[]
;978.0;;8618018;Original;;Findova, D.(?);"Rada, M.; Posppisil, A.D.(?)";Kamenny kvitek;12.0;Orbis;90°(6), Zug(6), hoch;7,50 €;1972;;;tschechisch(?);;;Töpfer, Lehrling,Pokal, Wald, Dorf, Familie;;1;6 - 1;;Es ist schwierig, due Geschichte ohne Sprachkenntnisse zu erzählen. Vermutlich wird ein Töpferlehrling unter Schlägen gezwungen einen besonderen Pokal herzustellen. Dieser wird an den Fürsten übegeben, der den Jüngling den Weg zu seiner eingesperrten Geli;4215.0;[]
;978.0;;270467;Orginal - 1;;Lukes,Rudolph;"Theiner, G.; Lukes, R.";Auf in den Zirkus;12.0;Carlsen VerlagGmbH, Hamburg;180°, Ziehb., Drehb,(6).;7,50 €;1964;;;Deutsch;;;Zirkus,Akrobaten,Löwen, Seelöwen, Elefanten.;;4;11 - 2;;" Das Buch berichtet über einen Besuch im Zirkus.Fadenbindung, Leinenrücken.

Dasas Buch gut erhalten, aber bestoßenund fleckig. Der hintere Buchdeckel ist am Rand ausgefranzt..Die Schaukel in Szene 2 und der Ball in Szene 4 sowie der zweite Elefant in S";4132.0;[]
;978.0;;39;Original;;Kubasta, Vojtech;"Stroblová, Jana;Kubasta, Vojtech";Stolceck-prestri sa! -(Tischlein deck dich!(Q);12.0;Panorama;90°, Aufstellbid(6) qadr, q, Z;5,00 €;1971;;;tschechisch;;;Schneider, Tisch,Esel,, Sack, Knüppel,;;3;1 - 3;;"Das Buch erzählt die Geschichte vom Tischlein deck dich und dem Knüppel aus dem Sack.Quadratisches Format (20 x 20 cm). Leinenrücken.

Das Buch ist sehr gut erhalten. Ecken leicht bestoßen, Kratzer und leichte Knickfalten und Preisnotiz auf dem Buchdeck";4169.0;[]
;978.0;;35;Orginal - 1;;Kubasta, Vojtech;Kubasta, Vojtech;Das Feuerzeug;16.0;Carlsen;90°, Aufklappb. quer(8), Ziehb;5,00€;1964;;;Deutsch;;;Märchen, Fuerzeug, Hunde, SoldatHexe, Schloss, Nacht, Löwen,König, Henker;;4;11 - 2;;Das Buch erzählt die Geschichte eines Soldaten, der von einer Hexe zu einem Schatz geleitet wird, Geld und ein Zauberfeuerzeug findet. 6 Szenen mit 5 Bewegungselementen. Hunde erfüllen ihm jeden Wunsch bis er die prinzessin heiratet. Fadenbindung, goldene;666.0;[]
3865662706;9783865662705.0;3865662706;131207;Pers. Signa Autogramm,Original;;Pacovská, Kveta;Goethe, Johann W. von;Das Hexeneinmaleins;48.0;Michael Neugebauer Edition, minedition;120°(2);20,00 €;2015;;;Deutsch;;;Faust, Mephisto, Hexe, 1x1,Zahlen, Gesicht,;;1;3 - 4;;"In GoethesFausterbittet Dr. Faustus ein Mittel zur ewigen Jugend von
Mephisto. Gemeinsam besuchen sie eine Hexe, die einen Trank braut
und dabei das Hexeneinmaleins spricht. Dieses bekannte Gedicht wurde
schon oft interpretiert und gedeutet, besonders
";4214.0;['1070795283']
